         912517 function calls (884899 primitive calls) in 2.368 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2484    0.002    0.000    0.009    0.000 ops.py:3573(as_graph_element)
     6301    0.002    0.000    0.003    0.000 enum.py:267(__call__)
      801    0.002    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.ExtendSession}
      347    0.002    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.SetAttr}
     3239    0.002    0.000    0.007    0.000 _collections_abc.py:657(get)
     3067    0.002    0.000    0.004    0.000 compat.py:48(as_bytes)
     6570    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     1418    0.002    0.000    0.006    0.000 lock_util.py:86(acquire)
     1501    0.002    0.000    0.010    0.000 session.py:285(__init__)
      800    0.002    0.000    0.006    0.000 nest.py:329(flatten_dict_items)
     3040    0.002    0.000    0.002    0.000 context.py:635(_mode)
8247/4423    0.002    0.000    0.041    0.000 contextlib.py:79(__enter__)
      935    0.002    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationGetAttrValueProto}
      616    0.002    0.000    0.004    0.000 ops.py:3000(_add_op)
     1800    0.002    0.000    0.006    0.000 _collections_abc.py:664(__contains__)
      616    0.002    0.000    0.002    0.000 ops.py:1802(_reconstruct_sequence_inputs)
      798    0.002    0.000    0.005    0.000 ops.py:5917(_get_graph_from_inputs)
     6701    0.002    0.000    0.002    0.000 gzip.py:93(prepend)
      616    0.002    0.000    0.125    0.000 ops.py:3301(create_op)
     2036    0.002    0.000    0.003    0.000 tensor_shape.py:184(__init__)
      800    0.002    0.000    0.011    0.000 tensor_shape.py:1055(is_compatible_with)
     1418    0.002    0.000    0.006    0.000 lock_util.py:96(release)
     1193    0.002    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.TF_SetAttrValueProto}
      616    0.002    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.TF_NewOperation}
     5720    0.002    0.000    0.003    0.000 ops.py:407(graph)
     5093    0.002    0.000    0.008    0.000 ops.py:5858(get_default_graph)
     5093    0.002    0.000    0.002    0.000 ops.py:5265(get_default)
     1365    0.002    0.000    0.002    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
     1555    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      127    0.002    0.000    0.008    0.000 tensor_util.py:355(make_tensor_proto)
     3041    0.002    0.000    0.003    0.000 ops.py:5282(get_controller)
     8817    0.002    0.000    0.003    0.000 object_identity.py:49(__hash__)
     1193    0.002    0.000    0.007    0.000 tensor_shape.py:743(__init__)
     4674    0.002    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationName}
      801    0.002    0.000    0.004    0.000 session.py:1413(_update_with_movers)
   853/37    0.002    0.000    0.005    0.000 abc.py:196(__subclasscheck__)
     5527    0.002    0.000    0.002    0.000 dtypes.py:690(as_dtype)
     3847    0.002    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationOpType}
      646    0.002    0.000    0.024    0.000 inspect.py:2183(_signature_from_callable)
    14028    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        2    0.002    0.001    0.255    0.128 __init__.py:123(download_and_parse_mnist_file)
      616    0.002    0.000    0.008    0.000 ops.py:1791(_control_flow_post_processing)
     8817    0.002    0.000    0.002    0.000 object_identity.py:33(__init__)
     1520    0.002    0.000    0.003    0.000 context.py:214(push)
     1068    0.002    0.000    0.014    0.000 ops.py:6305(__enter__)
     1134    0.001    0.000    0.012    0.000 c_api_util.py:176(tf_output)
      320    0.001    0.000    0.003    0.000 traceable_stack.py:35(set_filename_and_line_from_caller)
      785    0.001    0.000    0.001    0.000 {built-in method _pywrap_tensorflow_internal.TF_AddInput}
      801    0.001    0.000    0.014    0.000 session.py:1386(_extend_graph)
     2307    0.001    0.000    0.003    0.000 context.py:1591(executing_eagerly)
     1418    0.001    0.000    0.003    0.000 lock_util.py:106(_another_group_active)
     1129    0.001    0.000    0.002    0.000 threading.py:334(notify)
     6874    0.001    0.000    0.002    0.000 inspect.py:2781(<genexpr>)
     1134    0.001    0.000    0.002    0.000 pywrap_tensorflow_internal.py:62(_swig_getattr_nondynamic)
     1068    0.001    0.000    0.002    0.000 ops.py:6277(__init__)
     1785    0.001    0.000    0.006    0.000 ops.py:2156(inputs)
      771    0.001    0.000    0.002    0.000 ops.py:4145(unique_name)
     2400    0.001    0.000    0.004    0.000 ops.py:709(__hash__)
     8184    0.001    0.000    0.001    0.000 context.py:1559(context)
     3656    0.001    0.000    0.004    0.000 tensor_shape.py:702(as_dimension)
      616    0.001    0.000    0.008    0.000 ops.py:1778(<listcomp>)
     2200    0.001    0.000    0.003    0.000 object_identity.py:120(__setitem__)
     5601    0.001    0.000    0.006    0.000 pywrap_tensorflow_internal.py:58(_swig_setattr)
     1418    0.001    0.000    0.002    0.000 lock_util.py:74(group)
      600    0.001    0.000    0.978    0.002 vae_tf_gpu_mnist.py:142(train)
      127    0.001    0.000    0.043    0.000 constant_op.py:230(_constant_impl)
     1520    0.001    0.000    0.004    0.000 ops.py:3829(as_default)
     1088    0.001    0.000    0.002    0.000 op_def_library.py:53(_SatisfiesTypeConstraint)
        1    0.001    0.001    0.137    0.137 gradients_util.py:493(_GradientsHelper)
      585    0.001    0.000    0.001    0.000 {method 'ParseFromString' of 'google.protobuf.pyext._message.CMessage' objects}
     3847    0.001    0.000    0.003    0.000 ops.py:2253(type)
     1116    0.001    0.000    0.025    0.000 ops.py:1249(internal_convert_to_tensor)
     3965    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
     3488    0.001    0.000    0.001    0.000 compat.py:74(as_text)
       44    0.001    0.000    0.102    0.002 variables.py:1699(_init_from_args)
    11217    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      800    0.001    0.000    0.006    0.000 session.py:1094(_feed_fn)
      700    0.001    0.000    0.033    0.000 session.py:368(__init__)
      646    0.001    0.000    0.037    0.000 tf_inspect.py:238(getfullargspec)
     1191    0.001    0.000    0.002    0.000 dtypes.py:240(is_compatible_with)
     3872    0.001    0.000    0.003    0.000 ops.py:1876(name)
      801    0.001    0.000    0.001    0.000 ops.py:3032(version)
     1050    0.001    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.TF_NewBuffer}
     1511    0.001    0.000    0.002    0.000 six.py:588(iteritems)
     2556    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
     8654    0.001    0.000    0.001    0.000 ops.py:2258(graph)
     3542    0.001    0.000    0.001    0.000 dtypes.py:100(base_dtype)
     4254    0.001    0.000    0.001    0.000 lock_util.py:110(_validate_group_id)
      802    0.001    0.000    0.002    0.000 ops.py:3785(_get_tensor_by_tf_output)
     2699    0.001    0.000    0.001    0.000 {method 'HasField' of 'google.protobuf.pyext._message.CMessage' objects}
     1610    0.001    0.000    0.002    0.000 tensor_shape.py:244(is_compatible_with)
      367    0.001    0.000    0.009    0.000 ops.py:1837(colocation_groups)
     1601    0.001    0.000    0.005    0.000 session.py:1340(<genexpr>)
     1520    0.001    0.000    0.002    0.000 context.py:1631(graph_mode)
     2871    0.001    0.000    0.007    0.000 ops.py:686(_as_tf_output)
     3563    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2156    0.001    0.000    0.002    0.000 dtypes.py:260(__eq__)
      616    0.001    0.000    0.003    0.000 ops.py:4378(_apply_device_functions)
     3502    0.001    0.000    0.001    0.000 context.py:656(executing_eagerly)
      232    0.001    0.000    0.006    0.000 ops.py:5531(init_scope)
     2100    0.001    0.000    0.004    0.000 c_api_util.py:143(tf_buffer)
      604    0.001    0.000    0.002    0.000 ops.py:370(__init__)
      520    0.001    0.000    0.005    0.000 ops.py:4227(colocate_with)
     3559    0.001    0.000    0.001    0.000 ops.py:4018(_name_stack)
     3124    0.001    0.000    0.003    0.000 ops.py:183(_as_graph_element)
     2182    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x9d12c0}
      616    0.001    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.GetOperationInputs}
     1059    0.001    0.000    0.007    0.000 tensor_shape.py:1211(as_shape)
      584    0.001    0.000    0.002    0.000 op_def_library.py:173(_MakeType)
      616    0.001    0.000    0.001    0.000 ops.py:3801(_next_id)
     1338    0.001    0.000    0.002    0.000 tf_decorator.py:200(unwrap)
     1504    0.001    0.000    0.002    0.000 {built-in method builtins.any}
     6301    0.001    0.000    0.001    0.000 enum.py:517(__new__)
     4204    0.001    0.000    0.005    0.000 pywrap_tensorflow_internal.py:1444(<lambda>)
    12456    0.001    0.000    0.001    0.000 inspect.py:2502(name)
      347    0.001    0.000    0.006    0.000 ops.py:2321(_set_attr)
      950    0.001    0.000    0.005    0.000 tf_stack.py:139(extract_stack)
     2836    0.001    0.000    0.001    0.000 lock_util.py:108(<genexpr>)
      584    0.001    0.000    0.001    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationGetAttrType}
     4454    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
     7397    0.001    0.000    0.001    0.000 ops.py:397(op)
     1417    0.001    0.000    0.001    0.000 _collections_abc.py:676(items)
      800    0.001    0.000    0.001    0.000 {built-in method _pywrap_tensorflow_internal.IsSequence}
      800    0.001    0.000    0.002    0.000 session_ops.py:251(_get_handle_feeder)
        8    0.001    0.000    0.001    0.000 {built-in method _pywrap_tensorflow_internal.TF_TryEvaluateConstant_wrapper}
     1129    0.001    0.000    0.003    0.000 threading.py:357(notify_all)
     4743    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1068    0.001    0.000    0.002    0.000 ops.py:6352(__exit__)
      800    0.001    0.000    0.001    0.000 object_identity.py:172(__contains__)
      282    0.001    0.000    0.005    0.000 fromnumeric.py:73(_wrapreduction)
     1163    0.001    0.000    0.004    0.000 tensor_shape.py:776(<listcomp>)
     3103    0.001    0.000    0.001    0.000 object_identity.py:111(__init__)
     1520    0.001    0.000    0.001    0.000 context.py:234(pop)
     1418    0.001    0.000    0.007    0.000 lock_util.py:126(__exit__)
      700    0.001    0.000    0.022    0.000 session.py:375(<listcomp>)
     1397    0.001    0.000    0.001    0.000 {built-in method _pywrap_tensorflow_internal.TF_DeleteBuffer}
      849    0.001    0.000    0.003    0.000 {built-in method builtins.all}
      801    0.001    0.000    1.265    0.002 session.py:1346(_run_fn)
     1601    0.001    0.000    0.001    0.000 object_identity.py:129(__iter__)
      616    0.001    0.000    0.001    0.000 ops.py:4542(_control_dependencies_for_inputs)
      100    0.001    0.000    0.002    0.000 _methods.py:134(_mean)
    10578    0.001    0.000    0.001    0.000 inspect.py:2506(default)
      832    0.001    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
      172    0.001    0.000    0.001    0.000 tensor_shape.py:1174(as_proto)
     1291    0.001    0.000    0.002    0.000 ops.py:1723(<genexpr>)
     1501    0.001    0.000    0.001    0.000 ops.py:4903(is_fetchable)
     6228    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
        2    0.001    0.000    0.001    0.000 _compression.py:59(close)
      879    0.001    0.000    0.001    0.000 traceable_stack.py:119(peek_objs)
2499/1471    0.001    0.000    0.005    0.000 {built-in method builtins.issubclass}
     3674    0.001    0.000    0.001    0.000 ops.py:4927(_device_function_stack)
      616    0.001    0.000    0.003    0.000 ops.py:2163(<listcomp>)
      889    0.001    0.000    0.001    0.000 ops.py:3737(_get_operation_by_name_unsafe)
     1501    0.001    0.000    0.001    0.000 session.py:498(_assert_fetchable)
      801    0.001    0.000    0.003    0.000 session.py:496(<listcomp>)
      646    0.001    0.000    0.002    0.000 tf_inspect.py:390(ismethod)
     2136    0.001    0.000    0.001    0.000 ops.py:4025(_name_stack)
     1501    0.001    0.000    0.001    0.000 session.py:321(build_results)
      320    0.001    0.000    0.003    0.000 traceable_stack.py:92(push_obj)
     1501    0.001    0.000    0.001    0.000 session.py:199(_is_attrs_instance)
      801    0.001    0.000    1.251    0.002 session.py:1439(_call_tf_sessionrun)
      646    0.001    0.000    0.001    0.000 tf_inspect.py:283(<listcomp>)
     1418    0.001    0.000    0.007    0.000 lock_util.py:123(__enter__)
      465    0.001    0.000    0.001    0.000 errors_impl.py:266(__init__)
      800    0.001    0.000    0.002    0.000 ops.py:4895(is_feedable)
      510    0.000    0.000    0.000    0.000 op_def_library.py:38(_Attr)
     1134    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.new_TF_Output}
      801    0.000    0.000    1.265    0.002 session.py:1363(_do_call)
     3728    0.000    0.000    0.000    0.000 dtypes.py:87(_is_ref_dtype)
      347    0.000    0.000    0.001    0.000 {built-in method _pywrap_tensorflow_internal.TF_NewBufferFromString}
     2836    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
     1866    0.000    0.000    0.001    0.000 tensor_shape.py:807(rank)
      616    0.000    0.000    0.002    0.000 ops.py:4988(_snapshot_colocation_stack_metadata)
   114/44    0.000    0.000    0.003    0.000 variables.py:2756(_safe_initial_value_from_op)
     1134    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_Output_oper_set}
      801    0.000    0.000    0.002    0.000 ops.py:5096(_session_run_lock)
     1129    0.000    0.000    0.001    0.000 threading.py:254(_is_owned)
      489    0.000    0.000    0.000    0.000 op_def_library.py:788(<listcomp>)
      200    0.000    0.000    0.005    0.000 fromnumeric.py:2092(sum)
     5214    0.000    0.000    0.000    0.000 dtypes.py:128(as_datatype_enum)
       96    0.000    0.000    0.038    0.000 gen_array_ops.py:4208(identity)
       44    0.000    0.000    0.021    0.000 gen_state_ops.py:1585(variable_v2)
      489    0.000    0.000    0.001    0.000 op_def_library.py:84(_Flatten)
     1134    0.000    0.000    0.002    0.000 pywrap_tensorflow_internal.py:73(_swig_getattr)
     1418    0.000    0.000    0.000    0.000 lock_util.py:119(__init__)
      616    0.000    0.000    0.003    0.000 ops.py:1782(<listcomp>)
      868    0.000    0.000    0.034    0.000 _asarray.py:16(asarray)
      801    0.000    0.000    0.001    0.000 session.py:1341(<listcomp>)
     1501    0.000    0.000    0.000    0.000 session.py:132(<lambda>)
      616    0.000    0.000    0.001    0.000 ops.py:4948(_snapshot_device_function_stack_metadata)
     1134    0.000    0.000    0.002    0.000 pywrap_tensorflow_internal.py:1446(<lambda>)
     3154    0.000    0.000    0.000    0.000 context.py:1472(context_switches)
      203    0.000    0.000    0.002    0.000 ops.py:4585(control_dependencies)
     3503    0.000    0.000    0.000    0.000 ops.py:402(dtype)
     1038    0.000    0.000    0.002    0.000 ops.py:580(get_shape)
      463    0.000    0.000    0.001    0.000 traceable_stack.py:75(copy_metadata)
 1154/978    0.000    0.000    0.003    0.000 op_def_library.py:265(_MaybeColocateWith)
   121/44    0.000    0.000    0.001    0.000 variables.py:2717(_has_cycle)
     1134    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_Output_index_set}
      802    0.000    0.000    0.001    0.000 control_flow_util.py:266(CheckInputFromValidContext)
     6228    0.000    0.000    0.000    0.000 inspect.py:2510(annotation)
      465    0.000    0.000    0.000    0.000 errors_impl.py:66(__init__)
       46    0.000    0.000    0.025    0.001 gen_state_ops.py:31(assign)
      197    0.000    0.000    0.003    0.000 ops.py:488(_c_api_shape)
     2774    0.000    0.000    0.000    0.000 ops.py:3295(building_function)
     3201    0.000    0.000    0.000    0.000 session.py:772(graph)
      489    0.000    0.000    0.001    0.000 op_def_library.py:87(<listcomp>)
      114    0.000    0.000    0.002    0.000 ops.py:2263(node_def)
     1417    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
      616    0.000    0.000    0.001    0.000 ops.py:4576(_record_op_seen_by_control_dependencies)
     1338    0.000    0.000    0.001    0.000 tf_decorator.py:114(_has_tf_decorator_attr)
     1397    0.000    0.000    0.002    0.000 pywrap_tensorflow_internal.py:1348(<lambda>)
     6228    0.000    0.000    0.000    0.000 inspect.py:2514(kind)
      802    0.000    0.000    0.001    0.000 ops.py:3760(_get_operation_by_tf_operation)
      260    0.000    0.000    0.002    0.000 ops.py:5191(_colocate_with_for_gradient)
      978    0.000    0.000    0.000    0.000 ops.py:412(name)
      400    0.000    0.000    0.009    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      817    0.000    0.000    0.001    0.000 object_identity.py:169(_wrap_key)
     1264    0.000    0.000    0.000    0.000 ops.py:3026(_c_graph)
      800    0.000    0.000    0.000    0.000 object_identity.py:40(__eq__)
      944    0.000    0.000    0.000    0.000 dtypes.py:123(as_numpy_dtype)
      800    0.000    0.000    0.001    0.000 pywrap_tensorflow_internal.py:2502(IsSequence)
     1361    0.000    0.000    0.003    0.000 ops.py:426(shape)
      616    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationNumOutputs}
     1908    0.000    0.000    0.000    0.000 ops.py:2991(_check_not_finalized)
      202    0.000    0.000    0.001    0.000 ops.py:5493(_get_outer_context_and_inner_device_stack)
      646    0.000    0.000    0.001    0.000 context.py:1884(_tmp_in_graph_mode)
      520    0.000    0.000    0.005    0.000 ops.py:4214(_colocate_with_for_gradient)
       52    0.000    0.000    0.025    0.000 control_flow_ops.py:2802(with_dependencies)
     1232    0.000    0.000    0.000    0.000 traceable_stack.py:123(peek_traceable_objs)
      616    0.000    0.000    0.000    0.000 ops.py:3413(<listcomp>)
      646    0.000    0.000    0.001    0.000 <string>:12(__new__)
      793    0.000    0.000    0.001    0.000 op_def_library.py:568(<listcomp>)
     1400    0.000    0.000    0.000    0.000 session.py:385(<listcomp>)
      100    0.000    0.000    0.000    0.000 _methods.py:50(_count_reduce_items)
      800    0.000    0.000    0.002    0.000 session_ops.py:271(_get_handle_mover)
      617    0.000    0.000    0.001    0.000 ops.py:5089(_mutation_lock)
     1400    0.000    0.000    0.000    0.000 object_identity.py:126(__len__)
      616    0.000    0.000    0.001    0.000 ops.py:4990(<dictcomp>)
     2044    0.000    0.000    0.000    0.000 ops.py:5004(_control_dependencies_stack)
     2953    0.000    0.000    0.000    0.000 context.py:1566(context_safe)
     1299    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
     1230    0.000    0.000    0.000    0.000 op_def_library.py:80(_IsListValue)
      584    0.000    0.000    0.001    0.000 ops.py:2404(_get_attr_type)
      813    0.000    0.000    0.000    0.000 ops.py:2748(name_from_scope_name)
     1134    0.000    0.000    0.000    0.000 ops.py:2141(__iter__)
      200    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(sum)
      170    0.000    0.000    0.004    0.000 {built-in method _pywrap_tensorflow_internal.Flatten}
      172    0.000    0.000    0.000    0.000 tensor_shape.py:1180(<listcomp>)
      300    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      100    0.000    0.000    0.088    0.001 vae_tf_gpu_mnist.py:152(transform)
     1419    0.000    0.000    0.000    0.000 ops.py:5459(_GetGlobalDefaultGraph)
      605    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TFE_Py_UID}
      114    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationToNodeDef}
      793    0.000    0.000    0.000    0.000 op_def_library.py:64(_IsListParameter)
      127    0.000    0.000    0.000    0.000 tensor_util.py:334(_is_array_like)
      619    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      604    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationOutputType}
      611    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationDevice}
      100    0.000    0.000    0.099    0.001 vae_tf_gpu_mnist.py:170(reconstruct)
      649    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     1342    0.000    0.000    0.000    0.000 traceable_stack.py:121(<genexpr>)
      197    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_GraphGetTensorShapeHelper}
       28    0.000    0.000    0.079    0.003 variable_scope.py:795(_get_single_variable)
       81    0.000    0.000    0.001    0.000 ops.py:584(set_shape)
     2727    0.000    0.000    0.000    0.000 tensor_shape.py:239(value)
       33    0.000    0.000    0.017    0.001 gen_math_ops.py:11119(_sum)
     1993    0.000    0.000    0.000    0.000 ops.py:4973(_colocation_stack)
      800    0.000    0.000    0.000    0.000 session.py:133(<lambda>)
     1677    0.000    0.000    0.000    0.000 ops.py:2130(outputs)
      585    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_GetBuffer}
       95    0.000    0.000    0.003    0.000 math_ops.py:646(cast)
      470    0.000    0.000    0.000    0.000 {method 'WhichOneof' of 'google.protobuf.pyext._message.CMessage' objects}
     1280    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      461    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TFE_Py_RecordGradient}
      100    0.000    0.000    0.002    0.000 fromnumeric.py:3231(mean)
       82    0.000    0.000    0.000    0.000 gradients_util.py:779(_SetGrad)
      646    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      465    0.000    0.000    0.000    0.000 errors_impl.py:119(__str__)
       55    0.000    0.000    0.001    0.000 gradients_util.py:834(_LogOpGradients)
       35    0.000    0.000    0.029    0.001 array_ops.py:2303(zeros)
     1899    0.000    0.000    0.000    0.000 ops.py:1881(_id)
   121/44    0.000    0.000    0.003    0.000 variables.py:2733(_safe_initial_value_from_tensor)
      646    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      203    0.000    0.000    0.000    0.000 ops.py:4496(__enter__)
      260    0.000    0.000    0.001    0.000 ops.py:6583(_op_to_colocate_with)
      172    0.000    0.000    0.002    0.000 ops.py:4307(device)
      581    0.000    0.000    0.001    0.000 ops.py:5902(_assert_same_graph)
       81    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_GraphSetTensorShape_wrapper}
       28    0.000    0.000    0.013    0.000 control_flow_ops.py:2850(group)
      574    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
     1454    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      802    0.000    0.000    0.000    0.000 control_flow_util.py:180(GetOutputContext)
      605    0.000    0.000    0.000    0.000 ops.py:250(uid)
     1353    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      783    0.000    0.000    0.000    0.000 traceable_stack.py:30(__init__)
     1906    0.000    0.000    0.000    0.000 tensor_shape.py:814(dims)
     1809    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       34    0.000    0.000    0.016    0.000 gen_array_ops.py:8025(reshape)
      270    0.000    0.000    0.000    0.000 ops.py:3940(get_collection)
      976    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      282    0.000    0.000    0.000    0.000 fromnumeric.py:74(<dictcomp>)
       69    0.000    0.000    0.003    0.000 gradients_util.py:920(_AggregatedGrads)
       28    0.000    0.000    0.086    0.003 slot_creator.py:131(create_slot_with_initializer)
       65    0.000    0.000    0.000    0.000 {tensorflow.python.framework.fast_tensor_util.AppendFloat32ArrayToTensorProto}
      574    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
      646    0.000    0.000    0.000    0.000 inspect.py:81(ismethod)
      465    0.000    0.000    0.001    0.000 {method 'throw' of 'generator' objects}
      304    0.000    0.000    0.000    0.000 gradients_util.py:447(_Inputs)
